name,price,rpm,noise_level,color,size
NZXT Kraken 360 RGB,219.99,"500,1800","17.9,30.6",Black,360
Thermalright Frozen Notte ARGB,68.9,2000,27.7,White,240
Deepcool AK500 ZERO DARK,44.98,"500,1850","25.9,31.5",Black,
Deepcool AK400 ZERO DARK,33.99,"500,1850",29,Black,
Cooler Master MASTERLIQUID ML120L RGB V2,69.99,"650,1800","6,27",Black,120
Thermalright Peerless Assassin 120 Black,44.69,1550,25.6,Black,
Noctua NH-L9A-AM5 CHROMAX.BLACK,54.95,"600,2500","14.8,23.6",Black,
NZXT Kraken Elite 240 RGB,215.74,"500,1800","17.9,30.6",White,240
NZXT Kraken 280,131.09,"500,1500","19.4,32.1",Black,280
be quiet! Dark Rock 4,74.9,1400,,Black,
Cooler Master Hyper 212 Spectrum V3,25.98,"650,1750",27.2,Black / Silver,
Deepcool AK400 DIGITAL,49.99,"500,1850",28,Black,
Deepcool AG400,21.99,"500,2000",31.6,Black / Silver,
Vetroo V5,29.99,"800,1700",30.8,Black,
MSI MAG CORELIQUID 360R V2,119,"500,2000","14.3,34.3",Black,360
Noctua NH-D15S chromax.black,109.95,"300,1500","19.2,24.6",Black,
ID-COOLING SE-214-XT,17.98,"500,1500","13.8,30.5",White,
NZXT Kraken 120,70.58,"500,2000","21,36",Black,120
Cooler Master MasterLiquid ML240L ARGB V2,74.98,"650,1800","8,27",Black,240
Noctua NH-U9S chromax.black,69.95,"400,2000","16.3,22.8",Black,
NZXT Kraken Z73 RGB,,"500,1500","22,33",Black,360
be quiet! Dark Rock Pro 5,79.9,"1300,2000","8.9,23.3",Black,
Asus ROG RYUJIN II,,"450,2000",29.7,Black,360
Deepcool ASSASSIN IV,99.99,"500,1700","22.6,29.3",Black,
Deepcool LS520 SE WH,74.98,"500,2250","28.2,32.9",White,240
Thermalright Assassin King SE ARGB,21.49,1550,25.6,White,
NZXT Kraken Elite 280 RGB,266.33,"500,1500",34.48,White,280
Corsair iCUE LINK H150i RGB,204.99,"480,2400",,Black,360
Thermalright Frozen Notte ARGB,71.9,2000,27.7,Black,360
Scythe Fuma 3,49.99,"200,1500","4,28.6",Black / Silver,
ARCTIC Liquid Freezer II 360 Rev. 2,140.99,"200,1800",,Black,360
be quiet! Pure Rock 2 FX,52.9,,"7.9,24.4",Black,
Thermalright Peerless Assassin,34.9,1550,25.6,Gray,
ARCTIC Freezer 34 eSports DUO,52.58,"200,2100",24.4,White / Black,
NZXT T120 RGB,49.99,"500,1800","17.2,27.5",Black,
ARCTIC Alpine 23,9.16,"100,2000",,White / Black,
Thermalright Assassin X Refined SE ARGB,19.29,1550,25.6,White / Silver,
Thermalright Phantom Spirit,37.9,1500,25.6,Black / Silver,
Deepcool AG400,29.99,"500,2000",31.6,White,
Noctua NH-U12A,119.95,"450,2000","18.8,22.6",Brown,
Noctua NH-L9x65 chromax.black,69.9,"600,2500","14.8,23.6",Black,
Cooler Master MasterLiquid 240L Core,84.99,"350,1750",27.2,Black,240
Cooler Master Hyper 212 EVO,94.44,"600,2000","9,36",,
Cooler Master Hyper 212 Halo,34.99,"650,2050",27,Black,
Asus ROG STRIX LC II ARGB,149.99,"800,2500",37.6,Black,360
Corsair iCUE H170i ELITE LCD XT,299.99,"500,1700","5,33.8",Black,420
Lian Li Galahad II LCD SL-INF,358.89,,29,Black,360
EK Nucleus AIO CR360 Dark,129.99,"550,2300",36,Black,360
Corsair iCUE H150i ELITE LCD,365.5,"450,2000","10,30.4",Black,360
Corsair iCUE H150i ELITE CAPELLIX,,2400,"10,37",Black,360
Noctua NH-U9S,59.95,"400,2000","16.3,22.8",,
MSI MAG CORELIQUID P240,77.33,"500,2000","14.3,34.3",Black,240
Thermalright Frozen Prism ARGB,50.9,1850,27,Black,240
NZXT Kraken Z63,254.99,"500,1800","21,38",Black,280
Corsair iCUE LINK H150i LCD,284.99,"480,2400",,White,360
Thermalright Peerless Assassin 120 White,36.9,1550,25.6,White,
ARCTIC Freezer 7 X,22.98,"300,2000",22.5,Black / White,
be quiet! Pure Rock 2,34.9,1500,"19.1,26.8",Silver / Black,
Noctua NH-L9A-AM5,44.95,"600,2500","14.8,23.6",Brown / Silver,
Cooler Master Hyper 212 (2023),29.99,"690,2500",32.8,Black,
Cooler Master Hyper 212 Halo,34.99,"650,2050",27,White,
Deepcool AK400 ZERO DARK PLUS,50.98,"500,1650",28,Black,
be quiet! Pure Loop 2 FX,129.9,,"8,34",Black,360
Noctua NH-D9L,54.95,"400,2000","16.3,22.8",,
NZXT Kraken X73,213.53,"500,2000","21,36",Black,360
Noctua NH-U12S redux,54.95,"450,1700",25.1,Gray / Silver,
Lian Li Galahad II LCD SL-INF,351,,29,White,360
Noctua NH-L9i-17xx,44.95,"600,2500","14.8,23.6",Brown / Beige,
Thermaltake UX100,19.98,1800,26.92,Black,
Thermalright AXP90-X47,22.9,2700,22.4,Black,
Thermalright Frozen Prism ARGB,60.59,1850,27,Black,360
NZXT Kraken Z73,,"500,1800","21,36",Black,360
Corsair iCUE LINK H150i LCD,274.99,"480,2400",,Black,360
Corsair iCUE H60x RGB ELITE,,1500,"7,28",Black,120
NZXT Kraken Elite 240,202.99,"500,1800","17.9,30.6",Black,240
Thermalright Assassin X Refined SE PLUS,22.29,1550,25.6,Black / Silver,
Deepcool LT520 WH,87.99,"500,2250",32.9,White,240
Vetroo V5,29.99,"800,1700",30.8,White,
Noctua NH-D12L,89.95,"450,2000","18.8,22.6",Beige / Brown,
Lian Li Galahad II Trinity,149.99,2450,35.4,Black,360
EK Nucleus AIO CR240 Dark,165.19,"550,2300",36,Black,240
NZXT Kraken 280 RGB,183.25,"500,1500",34.48,White,280
ID-COOLING IS-55 Black,39.99,"500,2000",31.2,Black,
Thermalright Assassin X 90 SE,16.89,2400,27.3,Black / Silver,
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,Black,360
StarTech FAN775E,14.99,2600,22.2,,
Asus ROG RYUJIN II ARGB,454.99,,,Black,360
NZXT Kraken Z73 RGB,384.99,"500,1500","22,33",White / Black,360
NZXT Kraken X53,240,"500,2000","21,36",Black,240
Cooler Master MasterLiquid 360L Core,99.99,"350,1750",27.2,White,360
Thermalright Frozen Prism ARGB,46.9,1850,27,White,240
Lian Li Galahad II Trinity,114.99,2450,35.4,White,240
Thermalright Frozen Notte ARGB,,2000,27.7,White,360
Cooler Master MasterLiquid ML240L ARGB V2,99.99,"650,1800","8,27",White,240
ARCTIC Liquid Freezer II 280 A-RGB,124.99,"200,1900",22.5,Black,280
Cooler Master Hyper H412R,40.99,"600,2000",29.4,Black,
ARCTIC Liquid Freezer II 240 A-RGB,103.98,"200,1800",22.5,Black / Gray,240
Thermalright Assassin Spirit V2,,1500,25.6,Gray,
be quiet! Pure Loop 360,99.9,,"19.8,40.5",Black,360
Asus ROG RYUJIN III 360 ARGB EVA-02 EDITION,398.99,"600,2200",36.45,Red / Black,360
Corsair iCUE H100i ELITE LCD XT,219.99,"550,2100","5,34.1",Black,240
ARCTIC Liquid Freezer II 420 A-RGB,130.99,"200,1900",22.5,Black,420
Noctua NH-L9i,44.95,"600,2500","14.8,23.6",Brown,
Cooler Master MasterLiquid ML360L ARGB V2,114.99,"650,1800","8,27",Black,360
ID-COOLING FROSTFLOW X,59.99,"800,1600","16.8,32.6",Black / Silver,280
NZXT Kraken X73 RGB,395,"500,1500","22,33",White / Black,360
Asus ROG Ryujin III,349.99,"600,2200",36.45,White,360
Deepcool LS720 WH,116.98,"500,2250",32.9,White,360
NZXT Kraken X63,,"500,2000","21,38",Black,280
Deepcool AK500 WH,48.98,"500,1850","25.9,31.5",White,
Lian Li GALAHAD AIO 360 RGB,209.99,"800,1900",,White / Silver,360
Asus ROG STRIX LC II ARGB,154.99,"800,2500",37.6,White / Black,360
NZXT Kraken Elite 240 RGB,214.5,"500,1800","17.9,30.6",Black,240
Noctua NH-U12S,74.95,"300,1500","18.6,22.4",,
Thermalright Peerless Assassin 120 White ARGB,39.29,1550,25.6,White,
Thermalright Assassin X 120 PLUS V2,22.29,1500,25.6,Black / Silver,
Noctua NH-L9x65,59.95,"600,2500","14.8,23.6",,
Thermalright AXP90-X47,22.9,2700,22.4,White,
Gigabyte AORUS WATERFORCE X,209.99,"800,2500","7.9,37.6",Black,360
Thermalright Assassin X 90 SE ARGB,16.89,2200,23.85,Black / Silver,
Corsair iCUE H100i ELITE CAPELLIX,225,2400,"10,37",Black,240
MSI MAG CORELIQUID C360,149.38,"500,2000","14.3,34.3",Black,360
NZXT Kraken Elite 280,241.49,"500,1500","19.4,32.1",Black,280
Thermalright Assassin X Refined SE,19.89,1550,25.6,White / Silver,
Corsair H100i v2,249.99,2435,37.7,,240
Lian Li Galahad II Trinity,119.99,2450,35.4,Black,240
be quiet! Dark Rock Elite,89.9,"1500,2000","11,25.8",Black,
Noctua NH-D15S,99.95,"300,1500","19.2,24.6",,
Cooler Master Hyper 212 RGB Black Edition,,"650,2000","8,30",Black,
Corsair iCUE H100i RGB ELITE,149.99,"400,1850","5,28.9",White,240
ARCTIC Alpine 23 CO,12.99,"100,2000",,Black,
Vetroo V360,89.99,"800,1800",,White,360
Deepcool AK620 DIGITAL WH,84.99,"500,1850",28,White,
Thermalright Frozen Prism ARGB,52.99,1850,27,Black,360
Deepcool AG500 BK ARGB,46.98,"300,1850",29.4,Black,
Corsair iCUE H115i ELITE CAPELLIX XT,169.99,"500,1700","5,33.8",Black,280
EK AIO Basic 360,99.99,"550,2200",33.5,Black,360
Corsair iCUE LINK H170i LCD,289.99,"400,2000",,Black,420
MSI MAG CORELIQUID P360,103.99,"500,2000","14.3,34.3",Black,360
Cooler Master MasterLiquid 240L Core,84.99,"350,1750",27.2,White,240
NZXT Kraken X53 RGB,204.15,"500,1500","22,33",Black,240
ID-COOLING SE-224-XTS BLACK,29.99,"600,1500",28.9,Black,
Lian Li Galahad II Trinity Performance,159.99,"2300,3000","32.1,39.9",Black,360
Cooler Master MasterLiquid ML360 Illusion,134.97,"650,1800","6,30",Black / Silver,360
Corsair H150,,1500,"18,26.5",Black,360
Corsair H150i PRO,499.99,1600,25,,360
be quiet! Pure Rock LP,49.9,2500,,Black,
Corsair iCUE LINK H150i RGB,214.99,"480,2400",,White,360
ARCTIC Freezer 34 eSports DUO,59.98,"200,2100",24.4,White / Gray,
be quiet! Pure Loop 240,99.9,,"19,39.5",Black,240
Deepcool LE720,172.99,"500,2250",32.9,Black,360
Corsair iCUE H170i ELITE CAPELLIX,314.52,2000,"10,37",Black,420
Deepcool LE520,153.99,"500,2250",32.9,Black,240
Thermalright Frozen Edge,57.9,2150,28.1,Black,360
Phanteks GLACIER ONE 360D30,169.99,"250,2000",30.2,Black,360
be quiet! Pure Loop 2 FX,99.9,,"8,32.3",Black,240
Thermalright Frozen Prism,46.9,1850,27,Black,240
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,White,360
Thermalright Frozen Edge,43.9,2150,28.1,White,240
ARCTIC Alpine 17,11.99,"100,2000",,Black / White,
Thermalright Frozen Edge,55.9,2150,28.1,White,360
Corsair iCUE H115i RGB ELITE,159.99,"400,1600","19,35.8",Black,280
Asus ROG Ryujin III,329.99,"450,2000",29.7,Black,360
ID-COOLING FROZN A410 BLACK,26.99,"500,2000",29.85,Black,
Thermalright Assassin Spirit 120 EVO,22.9,2000,28.2,Black,
MSI MAG CORELIQUID C240,84.99,"500,2000","14.3,34.3",Black,240
MSI MEG CORELIQUID S360,230.9,,22.7,Black,360
Vetroo V240,64.98,1800,30.8,Black,240
Fractal Design Lumen S24 RGB V2,113.98,"500,2000","10,33.2",Black,240
Noctua NH-D9L chromax.black,74.9,"400,2000","16.3,22.8",Black,
Thermaltake UX200 SE ARGB,29.99,"800,1800",25,Black,
Enermax ETS-T40F-TB,19.99,"900,1800","11,21",,
Cooler Master Hyper 212 EVO V2,39.5,"650,1800","8,27",,
ID-COOLING DASHFLOW 240 BASIC,59.99,"700,1800","15.2,35.2",White,240
Noctua NH-U14S,79.95,"300,1500","19.2,24.6",,
Deepcool LS520,108.59,"500,2250",32.9,Black,240
be quiet! Dark Rock Slim,59.9,1500,"11,23.6",Black,
Deepcool AG620 BK ARGB,49.99,"300,1850",29.4,Black,
ID-COOLING DASHFLOW 240 BASIC,64.98,"700,1800","15.2,35.2",Black,240
Thermalright Assassin X 120 V2,18.59,1500,25.6,Black / Silver,
Thermalright Aqua Elite V3,46.9,1500,25.6,Black,240
ARCTIC Alpine 17 CO,12.99,"250,2700",,Black,
Thermalright Aqua Elite V3,58.9,1500,25.6,White,360
Cooler Master Hyper T20,30,2000,30,Black / Silver,
NZXT T120,49.99,"500,1800","17.9,30.6",Black,
NZXT Kraken Z53,236.99,"500,2000","21,36",Black,240
Asus ROG STRIX LC II ARGB,119.99,"800,2500",37.6,Black,240
Thermalright Burst Assassin ARGB,22.9,1550,25.6,Black / Silver,
EK AIO 280 D-RGB,141.99,"500,2000",36.4,Black / Translucent White,280
Thermalright AXP90-X36,22.9,2700,22.4,Gray,
Cooler Master Hyper 212 EVO V2,45.39,"650,1800","8,27",Black / Silver,
Thermalright AXP90-X47,48.9,2700,22.4,Orange / Brown,
Corsair iCUE H150i RGB ELITE,164.99,"400,1850","5,28.9",White,360
Thermalright Phantom Spirit EVO,49.99,2150,27,Black,
Thermalright Silver Soul 110,29.9,2500,23,Black,
Corsair H100i RGB PLATINUM,,2400,37,Black / Silver,240
be quiet! Silent Loop 2 360,234.99,2200,"17.7,39.8",Black,360
Thermalright Assassin King SE ARGB,19.29,1550,25.6,Silver / Gray,
NZXT Kraken Elite 280 RGB,244.72,"500,1500",34.48,Black,280
Scythe Mugen 5 Rev. B,,"300,1200","4,24.9",Silver / Black,
Deepcool AK400 DIGITAL WH,52.98,"500,1850",28,White,
Asus ROG RYUO III 360 ARGB,243.68,2200,36.45,Black,360
be quiet! Shadow Rock 3,44.9,1600,"11.5,24.4",Black,
MSI MAG CORELIQUID 240R V2,99.99,"500,2000","14.3,34.3",White,240
Thermalright Assassin X Refined SE ARGB V2,19.89,1550,25.6,Black / Silver,
Corsair iCUE LINK H100i RGB,169.99,"480,2400",,Black,240
Thermalright Frozen Edge,,2150,28.1,Black,240
Corsair iCUE H150i ELITE CAPELLIX,316.99,2400,"10,37",White,360
Noctua NH-L9a-AM4 chromax.black,54.95,"600,2500","14.8,23.6",Black,
ENDORFY Fera 5,,"250,1800",,Black / Silver,
Deepcool AK500 DIGITAL,72.98,"500,1850",28,Black,
Vetroo V240,64.98,1800,30.8,White / Gray,240
Corsair H60 (2018),,1700,28.3,Black,120
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,White,360
Enermax Liqmax III 360 ARGB,99.99,"500,1600","14,27",Black,360
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,234,"800,1900",32,White / Silver,240
Asus TUF Gaming LC II ARGB,149.99,"800,2000",29,Black,360
Deepcool ASSASSIN IV,99.99,"500,1700","22.6,29.3",White,
Asus TUF GAMING LC 240 ARGB,101.99,"800,2000",29,Black,240
NZXT Kraken 280 RGB,176.99,"500,1500",34.48,Black,280
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,360
NZXT Kraken X63 RGB,184.99,"500,1500","22,33",Black,280
ID-COOLING FROZN A620 BLACK,49.99,"500,2000",29.85,Black,
Thermalright Aqua Elite V3,55.9,1500,25.6,Black,360
Cooler Master X Dream I117,,1800,,,
Noctua NH-P1,109.9,,0,Silver,
ID-COOLING PINKFLOW,109.99,"900,2000","16.3,33.5",White / Pink,240
Corsair iCUE H170i ELITE CAPELLIX XT,239.99,"500,1700","5,33.8",Black,420
Cooler Master MasterLiquid ML240L V2 RGB,108.92,"650,1800","8,27",White / Black,240
Corsair H100,,1500,"18,26.5",Black,240
Corsair iCUE H100i RGB PRO XT,,2400,37,Black,240
Cooler Master MasterLiquid ML360L ARGB V2,119.99,"650,1800","8,27",White,360
Cooler Master I30,13.3,2600,28,Black / Silver,
NZXT T120,46.93,"500,1800","17.9,30.6",White,
Lian Li GALAHAD AIO 240 RGB,129,"800,1900",,White / Silver,240
Corsair H100x,,1700,37,Black,240
EK AIO Elite 360 D-RGB,109.99,"550,2200",31.6,Black,360
NZXT Kraken Z53 RGB,323.55,"500,1500","22,33",Black,240
NZXT Kraken X73 RGB,324.99,"500,1500","22,33",Black,360
ARCTIC Freezer 34 eSports DUO,45.99,"200,2100",24.4,Red / Black,
Corsair H100i RGB PLATINUM SE,,2200,36,White,240
ARCTIC Freezer 34 eSports DUO,50.27,"200,2100",24.4,Black / Gray,
ARCTIC Freezer 7 X CO,26.99,"300,2000",,Black / Silver,
Lian Li GALAHAD AIO 240 RGB,147,"800,1900",,Black / Silver,240
Cooler Master MasterAir MA824 Stealth,99.99,,"0,24.6",Black,
Deepcool LE720,,"500,2250",32.9,White,360
NZXT Kraken M22,89.99,"500,2000","21,36",Black,120
Corsair iCUE H100i ELITE CAPELLIX,223.4,2400,"10,37",White,240
Cooler Master MasterLiquid ML240 Illusion,145.94,"650,1800","6,30",Black,240
Thermalright Frost Tower 120,31.9,1850,29.6,,
Thermalright AXP90-X53,21.9,2700,22.4,Gray,
Thermalright AXP90-X47,20.9,2700,22.4,Gray,
Thermalright Silver Soul 135,34.9,1850,29.6,Black,
Thermalright Frost Spirit 140 V3 BLACK,39.99,1500,25.6,Black,
Thermalright Frozen Magic Scenic V2,44.99,2150,28.1,White,240
